load,replication,avg_delay,loss_ratio,throughput,avg_queue_length,total_received,total_dropped,total_forwarded
0.5,1,1.7432645716287722,0.0,0.484,0.9778417363057219,245,0,242
0.5,2,1.5058931222111838,0.0,0.444,0.8269748943574445,225,0,222
0.5,3,1.8772496004599826,0.0,0.476,1.1610878661087867,239,0,238
0.5,4,1.4492351451596408,0.0,0.51,0.75,256,0,255
0.5,5,1.7530490972303345,0.0,0.462,0.9588744588744588,231,0,231
0.8,1,4.092750056287431,0.0,0.778,3.377868000379982,398,0,389
0.8,2,2.2455806881456035,0.0,0.708,1.6872511129708236,360,0,354
0.8,3,4.119384454626722,0.0,0.724,3.4270126758734185,371,0,362
0.8,4,3.598101684555951,0.0,0.806,1.998061347587807,411,0,403
0.8,5,4.2551326581834275,0.0,0.704,2.3010395165666098,385,0,352
1.0,1,5.757365983875761,0.0,0.872,12.214644137475746,507,0,436
1.0,2,3.7038921374800395,0.0,0.868,3.6207163228962127,457,0,434
1.0,3,7.252346800938044,0.0,0.882,7.242770505938495,468,0,441
1.0,4,10.692685184794785,0.0,0.938,8.17287864806039,498,0,469
1.0,5,5.454897639614518,0.008,0.85,7.3439983480740985,500,4,425
1.2,1,6.739303607575067,0.10631229235880399,0.904,19.087616064122734,602,64,452
1.2,2,6.411598363354785,0.028419182948490232,0.946,11.817170150647797,563,16,473
1.2,3,8.635087910782298,0.056239015817223195,0.942,15.726900524612219,569,32,471
1.2,4,11.183208349484334,0.006980802792321117,0.95,20.98835983408036,573,4,475
1.2,5,8.241822065593793,0.05641025641025641,0.97,12.974955507282838,585,33,485
